frag_code,site,depth,replicate,species,corralite_diameter_cm,columnella_diameter_cm,septa_height,distance_between_polyp,ug_ml
cc_30_mcav_8,coral_city,30,8,montastrea_cavernosa,1.358,0.428,0.393,0.029,1.427042313
cc_40_mcav_1,coral_city,40,1,montastrea_cavernosa,1.489,0.496,0.448,0.073,2.197238189
cc_40_mcav_1,coral_city,40,1,montastrea_cavernosa,1.484,0.451,0.523,0.057,2.197238189
cc_40_mcav_1,coral_city,40,1,montastrea_cavernosa,1.25,0.451,0.524,0.034,2.197238189
cc_40_mcav_1,coral_city,40,1,montastrea_cavernosa,1.31,0.382,0.511,0.016,2.197238189
cc_40_mcav_2,coral_city,40,2,montastrea_cavernosa,1.218,0.426,0.377,0.018,2.197238189
cc_40_mcav_2,coral_city,40,2,montastrea_cavernosa,1.439,0.526,0.493,0.05,2.197238189
cc_40_mcav_2,coral_city,40,2,montastrea_cavernosa,1.185,0.43,0.423,0.03,2.197238189
cc_40_mcav_2,coral_city,40,2,montastrea_cavernosa,1.163,0.472,0.333,0.033,2.197238189
cc_40_mcav_3,coral_city,40,3,montastrea_cavernosa,0.861,0.368,0.325,0.024,2.197238189
cc_40_mcav_3,coral_city,40,3,montastrea_cavernosa,1.077,0.43,0.311,0.034,2.197238189
cc_40_mcav_3,coral_city,40,3,montastrea_cavernosa,1.146,0.42,0.341,0.037,2.197238189
cc_40_mcav_3,coral_city,40,3,montastrea_cavernosa,0.94,0.39,0.407,0.096,2.197238189
cc_40_mcav_4,coral_city,40,4,montastrea_cavernosa,1.016,0.372,0.38,0.058,2.197238189
cc_40_mcav_4,coral_city,40,4,montastrea_cavernosa,0.935,0.335,0.247,0.021,2.197238189
cc_40_mcav_4,coral_city,40,4,montastrea_cavernosa,0.882,0.375,0.304,0.075,2.197238189
cc_40_mcav_4,coral_city,40,4,montastrea_cavernosa,0.956,0.369,0.292,0.033,2.197238189
cc_40_mcav_5,coral_city,40,5,montastrea_cavernosa,0.865,0.341,0.221,0.085,2.197238189
cc_40_mcav_5,coral_city,40,5,montastrea_cavernosa,1.009,0.427,0.254,0.038,2.197238189
cc_40_mcav_5,coral_city,40,5,montastrea_cavernosa,0.864,0.411,0.212,0.019,2.197238189
cc_40_mcav_5,coral_city,40,5,montastrea_cavernosa,0.703,0.289,0.192,0.033,2.197238189
cc_40_mcav_6,coral_city,40,6,montastrea_cavernosa,1.208,0.425,0.493,0.031,2.197238189
cc_40_mcav_6,coral_city,40,6,montastrea_cavernosa,1.014,0.352,0.398,0.11,2.197238189
cc_40_mcav_6,coral_city,40,6,montastrea_cavernosa,0.888,0.246,0.345,0.052,2.197238189
cc_40_mcav_6,coral_city,40,6,montastrea_cavernosa,0.963,0.367,0.45,0.054,2.197238189
cc_40_mcav_7,coral_city,40,7,montastrea_cavernosa,1.359,0.426,0.444,0.059,2.197238189
cc_40_mcav_7,coral_city,40,7,montastrea_cavernosa,1.168,0.313,0.376,0.047,2.197238189
cc_40_mcav_7,coral_city,40,7,montastrea_cavernosa,1.288,0.333,0.377,0.091,2.197238189
cc_40_mcav_7,coral_city,40,7,montastrea_cavernosa,0.745,0.285,0.227,0.14,2.197238189
cc_40_mcav_8,coral_city,40,8,montastrea_cavernosa,1.097,0.288,0.332,0.055,2.197238189
cc_40_mcav_8,coral_city,40,8,montastrea_cavernosa,0.924,0.308,0.382,0.075,2.197238189
cc_40_mcav_8,coral_city,40,8,montastrea_cavernosa,0.977,0.317,0.429,0.057,2.197238189
cc_40_mcav_8,coral_city,40,8,montastrea_cavernosa,0.907,0.375,0.267,0.037,2.197238189
cc_50_mcav_1,coral_city,50,1,montastrea_cavernosa,1298,0.342,0.294,0.075,1.914179018
cc_50_mcav_1,coral_city,50,1,montastrea_cavernosa,0.767,0.18,0.179,0.056,1.914179018
cc_50_mcav_2,coral_city,50,2, montastrea_cavernosa,1.253,0.403,0.426,0.012,1.914179018
cc_50_mcav_2,coral_city,50,2, montastrea_cavernosa,1.263,0.518,0.466,0.035,1.914179018
cc_50_mcav_2,coral_city,50,2, montastrea_cavernosa,1.453,0.516,0.602,0.038,1.914179018
cc_50_mcav_2,coral_city,50,2, montastrea_cavernosa,1.504,0.514,0.487,0.043,1.914179018
cc_50_mcav_3,coral_city,50,3,montastrea_cavernosa,1.167,0.51,0.368,0.131,1.914179018
cc_50_mcav_3,coral_city,50,3,montastrea_cavernosa,0.732,0.32,0.201,0.191,1.914179018
cc_50_mcav_3,coral_city,50,3,montastrea_cavernosa,1.022,0.383,0.306,0.093,1.914179018
cc_50_mcav_3,coral_city,50,3,montastrea_cavernosa,0.818,0.297,0.285,0.131,1.914179018
cc_50_mcav_4,coral_city,50,4,montastrea_cavernosa,0.761,0.262,0.333,0.147,1.914179018
cc_50_mcav_4,coral_city,50,4,montastrea_cavernosa,0.786,0.262,0.315,0.229,1.914179018
cc_50_mcav_4,coral_city,50,4,montastrea_cavernosa,0.65,0.274,0.289,0.147,1.914179018
cc_50_mcav_4,coral_city,50,4,montastrea_cavernosa,0.742,0.333,0.303,0.02,1.914179018
cc_50_mcav_6,coral_city,50,4,montastrea_cavernosa,0.766,0.251,0.218,0.057,1.914179018
cc_50_mcav_6,coral_city,50,4,montastrea_cavernosa,0.79,0.29,0.172,0.154,1.914179018
cc_50_mcav_6,coral_city,50,4,montastrea_cavernosa,0.646,0.304,0.192,0.016,1.914179018
cc_50_mcav_6,coral_city,50,4,montastrea_cavernosa,0.861,0.438,0.178,0.204,1.914179018
cc_50_mcav_5,coral_city,50,5,montastrea_cavernosa,0.933,0.301,0.202,0.012,1.914179018
cc_50_mcav_5,coral_city,50,5,montastrea_cavernosa,0.934,0.339,0.248,0.069,1.914179018
cc_50_mcav_5,coral_city,50,5,montastrea_cavernosa,0.888,0.335,0.154,0.05,1.914179018
cc_50_mcav_5,coral_city,50,5,montastrea_cavernosa,0.986,0.333,0.183,0.019,1.914179018
