,frag_code,site,depth,replicate,species,corralite_diameter_cm,columnella_diameter_cm,septa_height,distance_between_polyp,ug_ml,chl_cell,cell_cm,fv_fm,sigma,p,pmax
77,mf_30_mcav_2,marthas,30,2,montastrea_cavernosa,1.172,0.621,0.429,0.065,1.62338215,1.73E-07,449041.6144,0.385190476,588.3428571,0.308571429,135.0380952
78,mf_30_mcav_3,marthas,30,3,montastrea_cavernosa,0.957,0.368,0.284,0.087,1.62338215,1.73E-07,449041.6144,0.385190476,588.3428571,0.308571429,135.0380952
79,mf_30_mcav_3,marthas,30,3,montastrea_cavernosa,0.919,0.378,0.291,0.08,1.62338215,1.73E-07,449041.6144,0.385190476,588.3428571,0.308571429,135.0380952
80,mf_30_mcav_3,marthas,30,3,montastrea_cavernosa,1.194,0.503,0.356,0.062,1.62338215,1.73E-07,449041.6144,0.385190476,588.3428571,0.308571429,135.0380952
81,mf_30_mcav_3,marthas,30,3,montastrea_cavernosa,1.146,0.546,0.319,0.137,1.62338215,1.73E-07,449041.6144,0.385190476,588.3428571,0.308571429,135.0380952
82,mf_30_mcav_4,marthas,30,4,montastrea_cavernosa,1.563,0.641,0.52,0.094,1.62338215,1.73E-07,449041.6144,0.385190476,588.3428571,0.308571429,135.0380952
83,mf_30_mcav_4,marthas,30,4,montastrea_cavernosa,1.742,0.632,0.599,0.11,1.62338215,1.73E-07,449041.6144,0.385190476,588.3428571,0.308571429,135.0380952
84,mf_30_mcav_4,marthas,30,4,montastrea_cavernosa,1.558,0.869,0.436,0.248,1.62338215,1.73E-07,449041.6144,0.385190476,588.3428571,0.308571429,135.0380952
85,mf_30_mcav_4,marthas,30,4,montastrea_cavernosa,1.559,0.772,0.422,0.107,1.62338215,1.73E-07,449041.6144,0.385190476,588.3428571,0.308571429,135.0380952
86,mf_30_mcav_4,marthas,30,4,montastrea_cavernosa,1.349,0.476,0.46,0.138,1.62338215,1.73E-07,449041.6144,0.385190476,588.3428571,0.308571429,135.0380952
87,mf_30_mcav_4,marthas,30,4,montastrea_cavernosa,1.192,0.538,0.376,0.168,1.62338215,1.73E-07,449041.6144,0.385190476,588.3428571,0.308571429,135.0380952
88,mf_30_mcav_4,marthas,30,4,montastrea_cavernosa,1.148,0.462,0.393,0.133,1.62338215,1.73E-07,449041.6144,0.385190476,588.3428571,0.308571429,135.0380952
89,mf_30_mcav_4,marthas,30,4,montastrea_cavernosa,1.361,0.515,0.392,0.095,1.62338215,1.73E-07,449041.6144,0.385190476,588.3428571,0.308571429,135.0380952
90,mf_30_mcav_6,marthas,30,6,montastrea_cavernosa,0.992,0.366,0.275,0.045,1.62338215,1.73E-07,449041.6144,0.385190476,588.3428571,0.308571429,135.0380952
91,mf_30_mcav_6,marthas,30,6,montastrea_cavernosa,0.974,0.366,0.299,0.109,1.62338215,1.73E-07,449041.6144,0.385190476,588.3428571,0.308571429,135.0380952
